品名,最低价,平均价,最高价,规格,单位,发布日期
妃子笑,5.5,5.75,6,普通,斤,2013-06-10
熟象牙,3.5,4,4.5,普通,斤,2013-06-10
生象牙,2.5,3,3.5,普通,斤,2013-06-10
熟台农,3,3.5,4,普通,斤,2013-06-10
生台农,2.5,3,3.5,普通,斤,2013-06-10
维多利亚,7,8.5,10,普通,斤,2013-06-10
青提,7,7.5,8,普通,斤,2013-06-10
红无核,4,4.5,5,普通,斤,2013-06-10
乒乓球,8,10.5,13,普通,斤,2013-06-10
黑提,10,10.5,11,普通,斤,2013-06-10
红提,9,10,11,普通,斤,2013-06-10
巨峰,7,10,13,普通,斤,2013-06-10
黄元帅,1.6,1.8,2,普通,斤,2013-06-10
富士（纸袋Φ85以上）,2.8,3.3,3.8,普通,斤,2013-06-10
富士（纸袋Φ80<85）,2.5,2.65,2.8,普通,斤,2013-06-10
208甜瓜,2.1,2.15,2.2,普通,斤,2013-06-10
先锋,15,17.5,20,普通,斤,2013-06-11
美早,18,20,22,普通,斤,2013-06-11
红灯,8,10,12,普通,斤,2013-06-11
白蜡,4.5,4.5,4.5,普通,斤,2013-06-11
妃子笑,5,5.5,6,普通,斤,2013-06-11
熟象牙,3,3.75,4.5,普通,斤,2013-06-11
生象牙,3,3.5,4,普通,斤,2013-06-11
熟台农,3.5,4,4.5,普通,斤,2013-06-11
生台农,2.8,3.3,3.8,普通,斤,2013-06-11
维多利亚,7,8.5,10,普通,斤,2013-06-11
青提,7,7.5,8,普通,斤,2013-06-11
红无核,4,4.5,5,普通,斤,2013-06-11
乒乓球,8,10.5,13,普通,斤,2013-06-11
黑提,10,10.5,11,普通,斤,2013-06-11
红提,9,10,11,普通,斤,2013-06-11
巨峰,7,10,13,普通,斤,2013-06-11
晨阳,2.1,2.2,2.3,普通,斤,2013-06-11
富士（纸袋Φ85以上）,3,3.3,3.6,普通,斤,2013-06-11
富士（纸袋Φ80<85）,2.5,2.85,3.2,普通,斤,2013-06-11
208甜瓜,2.1,2.15,2.2,普通,斤,2013-06-11
落花甜,2.7,2.75,2.8,普通,斤,2013-06-11
冰糖籽,1.7,1.85,2,普通,斤,2013-06-11
甜宝,3,3.65,4.3,普通,斤,2013-06-11
郁金香,1.4,1.45,1.5,普通,斤,2013-06-11
西州蜜,2.6,2.7,2.8,普通,斤,2013-06-11
久红瑞,1.7,1.95,2.2,普通,斤,2013-06-11
甜蜜,2,2.05,2.1,普通,斤,2013-06-11
羊角蜜,2.5,2.9,3.3,普通,斤,2013-06-11
河北白甜瓜,2.5,2.55,2.6,普通,斤,2013-06-11
翠梨甜瓜,1.8,1.85,1.9,普通,斤,2013-06-11
长香玉,2,2.1,2.2,普通,斤,2013-06-11
丰甜,0.7,0.8,0.9,普通,斤,2013-06-11
沙白,1.5,1.85,2.2,普通,斤,2013-06-11
京甜5号甜瓜,1.9,2.05,2.2,普通,斤,2013-06-11
绿宝甜瓜,2.7,3.1,3.5,普通,斤,2013-06-11
黄金瓜,0.9,1,1.1,普通,斤,2013-06-11
白兰甜瓜,0.7,0.8,0.9,普通,斤,2013-06-11
哈密瓜,2,2.3,2.6,普通,斤,2013-06-11
国产皇帝蕉,3.9,4.05,4.2,普通,斤,2013-06-11
泰国,7.9,7.95,8,普通,斤,2013-06-11
南美洲、菲律宾,3.8,3.85,3.9,普通,斤,2013-06-11
国产,2.1,2.6,3.1,普通,斤,2013-06-11
口口爽,1.3,1.5,1.7,普通,斤,2013-06-11
京欣,1.3,1.4,1.5,普通,斤,2013-06-11
红玉,1.6,1.7,1.8,普通,斤,2013-06-11
麒麟,2.3,2.4,2.5,普通,斤,2013-06-11
无籽(小号-大号),2,2,2,普通,斤,2013-06-11
新疆杏,8,8.5,9,普通,斤,2013-06-11
黄杏(金太阳）,1,1.5,2,普通,斤,2013-06-11
小李子,2.5,2.75,3,普通,斤,2013-06-11
毛桃,3.5,6.25,9,普通,斤,2013-06-11
蟠桃,5,6.75,8.5,普通,斤,2013-06-11
油桃,2,3.25,4.5,普通,斤,2013-06-11
夏橙,1.5,2.25,3,普通,斤,2013-06-11
丑橘（云南）,3.3,3.45,3.6,普通,斤,2013-06-11
皇冠梨,2.4,2.55,2.7,普通,斤,2013-06-11
雪花梨,1.2,1.3,1.4,普通,斤,2013-06-11
鸭梨,1.2,1.3,1.4,普通,斤,2013-06-11
桑葚,1.5,2.15,2.8,普通,斤,2013-06-11
杨莓,4.5,5.25,6,普通,斤,2013-06-11
柠檬,4,4,4,普通,斤,2013-06-11
木瓜,4.5,4.75,5,普通,斤,2013-06-11
箱装菠萝,1.5,1.75,2,普通,斤,2013-06-11
先锋,8.00,10.50,13.00,普通,斤,2013-06-13
美早,15.00,17.50,20.00,普通,斤,2013-06-13
红灯,8.00,10.00,12.00,普通,斤,2013-06-13
越荔,5.50,5.55,5.60,普通,斤,2013-06-13
黑叶,4.20,4.35,4.50,普通,斤,2013-06-13
妃子笑,6.00,6.40,6.80,普通,斤,2013-06-13
熟象牙,4.50,5.00,5.50,普通,斤,2013-06-13
生象牙,3.50,4.00,4.50,普通,斤,2013-06-13
熟台农,3.50,4.25,5.00,普通,斤,2013-06-13
生台农,2.80,3.40,4.00,普通,斤,2013-06-13
维多利亚,7.00,8.00,9.00,普通,斤,2013-06-13
青提,7.00,7.50,8.00,普通,斤,2013-06-13
红无核,4.00,4.50,5.00,普通,斤,2013-06-13
乒乓球,8.00,10.50,13.00,普通,斤,2013-06-13
黑提,10.00,10.50,11.00,普通,斤,2013-06-13
红提,9.00,10.00,11.00,普通,斤,2013-06-13
巨峰,7.00,10.00,13.00,普通,斤,2013-06-13
晨阳,1.80,2.05,2.30,普通,斤,2013-06-13
