品名,最低价,平均价,最高价,规格,单位,发布日期
猕猴桃（海沃德）,5.20,5.35,5.50,普通,斤,2014-04-30
大毛桃,5.00,10.00,15.00,普通,斤,2014-04-30
蟠桃,13.00,14.00,15.00,普通,斤,2014-04-30
油桃,3.00,7.50,12.00,普通,斤,2014-04-30
芦柑,0.80,1.50,2.20,普通,斤,2014-04-30
鄂、湘、川脐橙,1.70,2.75,3.80,普通,斤,2014-04-30
丑柑（青见）,2.50,3.00,3.50,普通,斤,2014-04-30
丑柑（不知火）,4.50,6.00,7.50,普通,斤,2014-04-30
库尔勒香梨,4.20,5.10,6.00,普通,斤,2014-04-30
丰水梨,3.30,3.30,3.30,普通,斤,2014-04-30
皇冠梨,3.20,3.25,3.30,普通,斤,2014-04-30
雪花梨,2.50,2.55,2.60,普通,斤,2014-04-30
鸭梨,2.50,2.60,2.70,普通,斤,2014-04-30
山楂,1.50,2.50,3.50,普通,斤,2014-04-30
桑葚,5.70,5.75,5.80,普通,斤,2014-04-30
柠檬,9.00,9.50,10.00,普通,斤,2014-04-30
木瓜,4.80,4.90,5.00,普通,斤,2014-04-30
2号6号草莓,3.00,3.50,4.00,普通,斤,2014-04-30
甜宝(奶油)草莓,6.00,8.50,11.00,普通,斤,2014-04-30
椰青,0.80,0.85,0.90,普通,斤,2014-04-30
枇杷果（福建）,6.00,6.75,7.50,普通,斤,2014-04-30
箱装菠萝,1.60,1.80,2.00,普通,斤,2014-04-30
2号6号草莓,3.50,4.25,5.00,普通,斤,2014-05-01
甜宝(奶油)草莓,6.00,8.00,10.00,普通,斤,2014-05-01
椰青,0.80,0.85,0.90,普通,斤,2014-05-01
枇杷果（福建）,6.00,6.75,7.50,普通,斤,2014-05-01
箱装菠萝,1.60,1.80,2.00,普通,斤,2014-05-01
先锋樱桃,25.00,27.50,30.00,普通,斤,2014-05-01
美早,30.00,42.50,55.00,普通,斤,2014-05-01
红宝石,14.00,0.00,15.00,普通,斤,2014-05-01
红灯,20.00,25.00,30.00,普通,斤,2014-05-01
桂花香,21.00,21.00,21.00,普通,斤,2014-05-01
妃子笑,25.00,27.50,30.00,普通,斤,2014-05-01
熟台农大芒果,6.00,7.00,8.00,普通,斤,2014-05-01
熟台农小芒果,4.00,4.75,5.50,普通,斤,2014-05-01
生台农大芒果,5.00,6.15,7.30,普通,斤,2014-05-01
生台农小芒果,3.50,4.25,5.00,普通,斤,2014-05-01
维多利亚葡萄,10.00,11.50,13.00,普通,斤,2014-05-01
红无核葡萄,13.00,13.50,14.00,普通,斤,2014-05-01
乒乓球葡萄,15.00,16.00,17.00,普通,斤,2014-05-01
青提,12.00,12.50,13.00,普通,斤,2014-05-01
黑提葡萄（夏黑）,15.00,15.50,16.00,普通,斤,2014-05-01
巨峰葡萄,12.00,15.00,18.00,普通,斤,2014-05-01
国光,1.70,1.95,2.20,普通,斤,2014-05-01
富士（膜袋Φ75-85）,1.80,2.15,2.50,普通,斤,2014-05-01
富士（纸袋Φ70<85）苹果,2.50,3.35,4.20,普通,斤,2014-05-01
208甜瓜,3.00,3.15,3.30,普通,斤,2014-05-01
翠宝甜瓜,3.50,4.50,5.50,普通,斤,2014-05-01
东方蜜甜瓜,7.00,7.25,7.50,普通,斤,2014-05-01
冰糖籽,2.80,2.85,2.90,普通,斤,2014-05-01
甜宝,3.80,4.40,5.00,普通,斤,2014-05-01
西州蜜,4.10,4.15,4.20,普通,斤,2014-05-01
久红瑞,3.00,3.60,4.20,普通,斤,2014-05-01
花蕾甜瓜,4.20,4.35,4.50,普通,斤,2014-05-01
羊角蜜,3.00,4.75,6.50,普通,斤,2014-05-01
翠梨甜瓜,4.20,4.45,4.70,普通,斤,2014-05-01
长香玉,3.40,3.50,3.60,普通,斤,2014-05-01
丰雷,1.50,1.60,1.70,普通,斤,2014-05-01
丰甜,1.50,1.65,1.80,普通,斤,2014-05-01
沙白,2.80,3.40,4.00,普通,斤,2014-05-01
京甜5号甜瓜,3.30,3.50,3.70,普通,斤,2014-05-01
绿宝甜瓜,3.80,4.90,6.00,普通,斤,2014-05-01
黄金瓜,1.60,1.80,2.00,普通,斤,2014-05-01
白兰甜瓜,1.50,1.65,1.80,普通,斤,2014-05-01
国产皇帝香蕉,6.50,6.55,6.60,普通,斤,2014-05-01
泰国香蕉,10.00,10.20,10.40,普通,斤,2014-05-01
菲律宾香蕉,4.80,5.10,5.40,普通,斤,2014-05-01
国产香蕉,3.10,3.30,3.50,普通,斤,2014-05-01
新红宝,2.00,2.05,2.10,普通,斤,2014-05-01
甜王（境外）,1.50,1.90,2.30,普通,斤,2014-05-01
云南甜王,1.30,1.50,1.70,普通,斤,2014-05-01
京欣西瓜,1.90,2.20,2.50,普通,斤,2014-05-01
红玉/600,2.00,2.15,2.30,普通,斤,2014-05-01
特小凤.小兰,2.00,2.10,2.20,普通,斤,2014-05-01
云南麒麟西瓜,2.30,2.55,2.80,普通,斤,2014-05-01
无籽小号-大号,2.00,2.20,2.40,普通,斤,2014-05-01
黄杏(金太阳）,7.00,8.00,9.00,普通,斤,2014-05-01
布朗,8.00,8.50,9.00,普通,斤,2014-05-01
李子（幸运）,10.00,10.50,11.00,普通,斤,2014-05-01
猕猴桃（海沃德）,5.20,5.35,5.50,普通,斤,2014-05-01
大毛桃,5.00,10.00,15.00,普通,斤,2014-05-01
蟠桃,11.00,13.00,15.00,普通,斤,2014-05-01
油桃,3.00,7.50,12.00,普通,斤,2014-05-01
芦柑,0.80,1.50,2.20,普通,斤,2014-05-01
鄂、湘、川脐橙,1.70,2.75,3.80,普通,斤,2014-05-01
丑柑（青见）,2.50,3.00,3.50,普通,斤,2014-05-01
丑柑（不知火）,4.50,6.00,7.50,普通,斤,2014-05-01
库尔勒香梨,4.20,5.10,6.00,普通,斤,2014-05-01
丰水梨,3.30,3.30,3.30,普通,斤,2014-05-01
皇冠梨,3.20,3.25,3.30,普通,斤,2014-05-01
雪花梨,2.50,2.55,2.60,普通,斤,2014-05-01
鸭梨,2.50,2.60,2.70,普通,斤,2014-05-01
山楂,1.50,2.50,3.50,普通,斤,2014-05-01
桑葚,5.70,5.75,5.80,普通,斤,2014-05-01
杨莓,17.00,17.50,18.00,普通,斤,2014-05-01
柠檬,9.00,9.50,10.00,普通,斤,2014-05-01
木瓜,4.80,4.90,5.00,普通,斤,2014-05-01
先锋樱桃,25.00,27.50,30.00,普通,斤,2014-05-02
美早,30.00,42.50,55.00,普通,斤,2014-05-02
红宝石,14.00,0.00,15.00,普通,斤,2014-05-02
红灯,20.00,25.00,30.00,普通,斤,2014-05-02
桂花香,20.00,20.00,20.00,普通,斤,2014-05-02
妃子笑,25.00,27.50,30.00,普通,斤,2014-05-02
熟台农大芒果,6.00,7.00,8.00,普通,斤,2014-05-02
熟台农小芒果,4.00,4.75,5.50,普通,斤,2014-05-02
生台农大芒果,5.00,6.15,7.30,普通,斤,2014-05-02
生台农小芒果,3.50,4.25,5.00,普通,斤,2014-05-02
维多利亚葡萄,10.00,11.50,13.00,普通,斤,2014-05-02
红无核葡萄,13.00,13.50,14.00,普通,斤,2014-05-02
乒乓球葡萄,15.00,16.00,17.00,普通,斤,2014-05-02
青提,12.00,12.50,13.00,普通,斤,2014-05-02
黑提葡萄（夏黑）,15.00,15.50,16.00,普通,斤,2014-05-02
巨峰葡萄,12.00,15.00,18.00,普通,斤,2014-05-02
国光,1.70,1.95,2.20,普通,斤,2014-05-02
富士（膜袋Φ75-85）,1.80,2.15,2.50,普通,斤,2014-05-02
富士（纸袋Φ70<85）苹果,2.50,3.35,4.20,普通,斤,2014-05-02
208甜瓜,3.00,3.05,3.10,普通,斤,2014-05-02
翠宝甜瓜,3.50,4.50,5.50,普通,斤,2014-05-02
东方蜜甜瓜,7.00,7.25,7.50,普通,斤,2014-05-02
冰糖籽,2.50,2.70,2.90,普通,斤,2014-05-02
甜宝,3.80,4.65,5.50,普通,斤,2014-05-02
西州蜜,4.10,4.15,4.20,普通,斤,2014-05-02
久红瑞,3.00,3.60,4.20,普通,斤,2014-05-02
花蕾甜瓜,4.20,4.35,4.50,普通,斤,2014-05-02
羊角蜜,3.00,4.50,6.00,普通,斤,2014-05-02
翠梨甜瓜,4.20,4.45,4.70,普通,斤,2014-05-02
长香玉,3.40,3.50,3.60,普通,斤,2014-05-02
丰雷,1.50,1.60,1.70,普通,斤,2014-05-02
丰甜,1.50,1.65,1.80,普通,斤,2014-05-02
沙白,2.80,3.40,4.00,普通,斤,2014-05-02
京甜5号甜瓜,3.00,3.15,3.30,普通,斤,2014-05-02
绿宝甜瓜,3.80,4.90,6.00,普通,斤,2014-05-02
黄金瓜,1.60,1.80,2.00,普通,斤,2014-05-02
白兰甜瓜,1.50,1.65,1.80,普通,斤,2014-05-02
国产皇帝香蕉,6.70,6.80,6.90,普通,斤,2014-05-02
泰国香蕉,10.00,10.20,10.40,普通,斤,2014-05-02
菲律宾香蕉,4.80,5.10,5.40,普通,斤,2014-05-02
国产香蕉,2.70,3.00,3.30,普通,斤,2014-05-02
新红宝,2.00,2.05,2.10,普通,斤,2014-05-02
甜王（境外）,1.30,1.75,2.20,普通,斤,2014-05-02
云南甜王,1.30,1.50,1.70,普通,斤,2014-05-02
京欣西瓜,1.80,2.05,2.30,普通,斤,2014-05-02
红玉/600,2.00,2.15,2.30,普通,斤,2014-05-02
特小凤.小兰,2.00,2.10,2.20,普通,斤,2014-05-02
云南麒麟西瓜,2.30,2.55,2.80,普通,斤,2014-05-02
无籽小号-大号,2.00,2.20,2.40,普通,斤,2014-05-02
黄杏(金太阳）,7.00,8.00,9.00,普通,斤,2014-05-02
布朗,8.00,8.50,9.00,普通,斤,2014-05-02
李子（幸运）,10.00,10.50,11.00,普通,斤,2014-05-02
猕猴桃（海沃德）,5.20,5.35,5.50,普通,斤,2014-05-02
大毛桃,5.00,10.00,15.00,普通,斤,2014-05-02
蟠桃,11.00,13.00,15.00,普通,斤,2014-05-02
油桃,3.00,7.50,12.00,普通,斤,2014-05-02
芦柑,0.80,1.50,2.20,普通,斤,2014-05-02
鄂、湘、川脐橙,1.70,2.75,3.80,普通,斤,2014-05-02
丑柑（青见）,2.50,3.00,3.50,普通,斤,2014-05-02
丑柑（不知火）,4.50,6.00,7.50,普通,斤,2014-05-02
库尔勒香梨,4.20,5.10,6.00,普通,斤,2014-05-02
丰水梨,3.30,3.30,3.30,普通,斤,2014-05-02
皇冠梨,3.20,3.25,3.30,普通,斤,2014-05-02
雪花梨,2.50,2.55,2.60,普通,斤,2014-05-02
鸭梨,2.50,2.60,2.70,普通,斤,2014-05-02
山楂,1.50,2.50,3.50,普通,斤,2014-05-02
桑葚,5.70,5.75,5.80,普通,斤,2014-05-02
杨莓,17.00,17.50,18.00,普通,斤,2014-05-02
柠檬,9.00,9.50,10.00,普通,斤,2014-05-02
木瓜,6.00,6.25,6.50,普通,斤,2014-05-02
2号6号草莓,3.50,4.25,5.00,普通,斤,2014-05-02
甜宝(奶油)草莓,6.00,8.00,10.00,普通,斤,2014-05-02
椰青,0.80,0.85,0.90,普通,斤,2014-05-02
枇杷果（福建）,6.00,6.75,7.50,普通,斤,2014-05-02
箱装菠萝,1.80,2.00,2.20,普通,斤,2014-05-02
先锋樱桃,20.00,0.00,30.00,普通,斤,2014-05-03
美早,30.00,0.00,55.00,普通,斤,2014-05-03
红宝石,10.00,0.00,10.00,普通,斤,2014-05-03
红灯,15.00,0.00,32.00,普通,斤,2014-05-03
桂花香,20.00,20.00,20.00,普通,斤,2014-05-03
妃子笑,22.00,24.00,26.00,普通,斤,2014-05-03
熟台农大芒果,6.00,7.00,8.00,普通,斤,2014-05-03
熟台农小芒果,4.00,4.75,5.50,普通,斤,2014-05-03
生台农大芒果,5.00,6.15,7.30,普通,斤,2014-05-03
生台农小芒果,3.50,4.25,5.00,普通,斤,2014-05-03
维多利亚葡萄,10.00,11.00,12.00,普通,斤,2014-05-03
乒乓球葡萄,15.00,16.00,17.00,普通,斤,2014-05-03
黑提葡萄（夏黑）,15.00,15.50,16.00,普通,斤,2014-05-03
巨峰葡萄,12.00,15.00,18.00,普通,斤,2014-05-03
国光,1.70,1.95,2.20,普通,斤,2014-05-03
富士（膜袋Φ75-85）,1.80,2.15,2.50,普通,斤,2014-05-03
富士（纸袋Φ70<85）苹果,2.50,3.35,4.20,普通,斤,2014-05-03
208甜瓜,3.00,3.05,3.10,普通,斤,2014-05-03
翠宝甜瓜,3.50,4.50,5.50,普通,斤,2014-05-03
东方蜜甜瓜,6.50,6.75,7.00,普通,斤,2014-05-03
冰糖籽,2.50,2.70,2.90,普通,斤,2014-05-03
甜宝,3.80,4.65,5.50,普通,斤,2014-05-03
西州蜜,4.10,4.15,4.20,普通,斤,2014-05-03
久红瑞,3.00,3.60,4.20,普通,斤,2014-05-03
花蕾甜瓜,4.20,4.35,4.50,普通,斤,2014-05-03
羊角蜜,3.00,4.50,6.00,普通,斤,2014-05-03
翠梨甜瓜,4.20,4.45,4.70,普通,斤,2014-05-03
长香玉,3.40,3.50,3.60,普通,斤,2014-05-03
丰雷,1.50,1.60,1.70,普通,斤,2014-05-03
丰甜,1.50,1.65,1.80,普通,斤,2014-05-03
沙白,2.80,3.40,4.00,普通,斤,2014-05-03
京甜5号甜瓜,3.00,3.15,3.30,普通,斤,2014-05-03
绿宝甜瓜,3.80,4.90,6.00,普通,斤,2014-05-03
黄金瓜,1.60,1.80,2.00,普通,斤,2014-05-03
白兰甜瓜,1.50,1.65,1.80,普通,斤,2014-05-03
国产皇帝香蕉,6.70,6.80,6.90,普通,斤,2014-05-03
泰国香蕉,10.00,10.20,10.40,普通,斤,2014-05-03
菲律宾香蕉,4.80,5.10,5.40,普通,斤,2014-05-03
国产香蕉,2.70,3.00,3.30,普通,斤,2014-05-03
新红宝,2.00,2.05,2.10,普通,斤,2014-05-03
甜王（境外）,1.30,1.75,2.20,普通,斤,2014-05-03
云南甜王,1.30,1.50,1.70,普通,斤,2014-05-03
京欣西瓜,1.60,1.90,2.20,普通,斤,2014-05-03
红玉/600,2.00,2.15,2.30,普通,斤,2014-05-03
特小凤.小兰,2.00,2.10,2.20,普通,斤,2014-05-03
云南麒麟西瓜,2.30,2.55,2.80,普通,斤,2014-05-03
无籽小号-大号,2.00,2.20,2.40,普通,斤,2014-05-03
黄杏(金太阳）,7.00,8.00,9.00,普通,斤,2014-05-03
布朗,8.00,8.50,9.00,普通,斤,2014-05-03
李子（幸运）,10.00,10.50,11.00,普通,斤,2014-05-03
猕猴桃（海沃德）,5.20,5.35,5.50,普通,斤,2014-05-03
大毛桃,5.00,10.00,15.00,普通,斤,2014-05-03
蟠桃,11.00,13.00,15.00,普通,斤,2014-05-03
油桃,3.00,6.50,10.00,普通,斤,2014-05-03
芦柑,0.80,1.50,2.20,普通,斤,2014-05-03
鄂、湘、川脐橙,1.70,2.75,3.80,普通,斤,2014-05-03
丑柑（青见）,2.50,3.00,3.50,普通,斤,2014-05-03
丑柑（不知火）,4.50,6.00,7.50,普通,斤,2014-05-03
库尔勒香梨,4.20,5.10,6.00,普通,斤,2014-05-03
丰水梨,3.30,3.30,3.30,普通,斤,2014-05-03
皇冠梨,3.20,3.25,3.30,普通,斤,2014-05-03
雪花梨,2.50,2.55,2.60,普通,斤,2014-05-03
鸭梨,2.50,2.60,2.70,普通,斤,2014-05-03
山楂,1.50,2.50,3.50,普通,斤,2014-05-03
桑葚,5.70,5.75,5.80,普通,斤,2014-05-03
杨莓,17.00,17.50,18.00,普通,斤,2014-05-03
柠檬,9.00,9.50,10.00,普通,斤,2014-05-03
木瓜,6.00,6.25,6.50,普通,斤,2014-05-03
2号6号草莓,3.50,4.25,5.00,普通,斤,2014-05-03
甜宝(奶油)草莓,6.00,8.00,10.00,普通,斤,2014-05-03
椰青,0.80,0.85,0.90,普通,斤,2014-05-03
枇杷果（福建）,6.00,6.75,7.50,普通,斤,2014-05-03
箱装菠萝,1.80,2.00,2.20,普通,斤,2014-05-03
蟠桃,11.00,13.00,15.00,普通,斤,2014-05-04
油桃,3.00,6.50,10.00,普通,斤,2014-05-04
芦柑,0.80,1.50,2.20,普通,斤,2014-05-04
鄂、湘、川脐橙,1.70,2.75,3.80,普通,斤,2014-05-04
丑柑（青见）,2.50,3.00,3.50,普通,斤,2014-05-04
丑柑（不知火）,4.50,6.00,7.50,普通,斤,2014-05-04
库尔勒香梨,4.20,5.10,6.00,普通,斤,2014-05-04
丰水梨,3.30,3.30,3.30,普通,斤,2014-05-04
皇冠梨,3.20,3.25,3.30,普通,斤,2014-05-04
雪花梨,2.50,2.55,2.60,普通,斤,2014-05-04
鸭梨,2.50,2.60,2.70,普通,斤,2014-05-04
山楂,1.50,2.50,3.50,普通,斤,2014-05-04
桑葚,7.60,7.70,7.80,普通,斤,2014-05-04
杨莓,17.00,17.50,18.00,普通,斤,2014-05-04
柠檬,9.00,9.50,10.00,普通,斤,2014-05-04
木瓜,6.00,6.25,6.50,普通,斤,2014-05-04
2号6号草莓,3.50,4.25,5.00,普通,斤,2014-05-04
甜宝(奶油)草莓,6.00,8.00,10.00,普通,斤,2014-05-04
椰青,0.80,0.85,0.90,普通,斤,2014-05-04
枇杷果（福建）,6.00,6.75,7.50,普通,斤,2014-05-04
箱装菠萝,1.80,2.00,2.20,普通,斤,2014-05-04
先锋樱桃,20.00,0.00,30.00,普通,斤,2014-05-04
美早,30.00,0.00,55.00,普通,斤,2014-05-04
红宝石,10.00,0.00,10.00,普通,斤,2014-05-04
红灯,15.00,0.00,32.00,普通,斤,2014-05-04
桂花香,17.00,17.50,18.00,普通,斤,2014-05-04
妃子笑,22.00,24.00,26.00,普通,斤,2014-05-04
熟台农大芒果,6.00,7.00,8.00,普通,斤,2014-05-04
熟台农小芒果,4.00,4.75,5.50,普通,斤,2014-05-04
生台农大芒果,5.00,6.15,7.30,普通,斤,2014-05-04
生台农小芒果,3.50,4.25,5.00,普通,斤,2014-05-04
维多利亚葡萄,10.00,11.00,12.00,普通,斤,2014-05-04
乒乓球葡萄,15.00,15.50,16.00,普通,斤,2014-05-04
黑提葡萄（夏黑）,15.00,15.50,16.00,普通,斤,2014-05-04
巨峰葡萄,12.00,15.00,18.00,普通,斤,2014-05-04
国光,1.70,1.95,2.20,普通,斤,2014-05-04
富士（膜袋Φ75-85）,1.80,2.15,2.50,普通,斤,2014-05-04
富士（纸袋Φ70<85）苹果,2.50,3.35,4.20,普通,斤,2014-05-04
208甜瓜,2.40,2.55,2.70,普通,斤,2014-05-04
翠宝甜瓜,3.50,4.25,5.00,普通,斤,2014-05-04
东方蜜甜瓜,6.00,6.50,7.00,普通,斤,2014-05-04
冰糖籽,2.50,2.70,2.90,普通,斤,2014-05-04
甜宝,3.50,3.85,4.20,普通,斤,2014-05-04
西州蜜,4.10,4.15,4.20,普通,斤,2014-05-04
久红瑞,3.00,3.60,4.20,普通,斤,2014-05-04
花蕾甜瓜,4.20,4.35,4.50,普通,斤,2014-05-04
羊角蜜,3.00,4.50,6.00,普通,斤,2014-05-04
翠梨甜瓜,4.20,4.45,4.70,普通,斤,2014-05-04
长香玉,3.40,3.50,3.60,普通,斤,2014-05-04
丰雷,1.50,1.60,1.70,普通,斤,2014-05-04
丰甜,1.50,1.65,1.80,普通,斤,2014-05-04
沙白,2.80,3.40,4.00,普通,斤,2014-05-04
京甜5号甜瓜,2.80,2.90,3.00,普通,斤,2014-05-04
绿宝甜瓜,3.80,4.90,6.00,普通,斤,2014-05-04
黄金瓜,1.60,1.80,2.00,普通,斤,2014-05-04
白兰甜瓜,1.50,1.65,1.80,普通,斤,2014-05-04
国产皇帝香蕉,6.70,6.80,6.90,普通,斤,2014-05-04
泰国香蕉,10.00,10.20,10.40,普通,斤,2014-05-04
菲律宾香蕉,4.80,5.10,5.40,普通,斤,2014-05-04
国产香蕉,2.70,3.00,3.30,普通,斤,2014-05-04
新红宝,2.00,2.05,2.10,普通,斤,2014-05-04
甜王（境外）,1.30,1.65,2.00,普通,斤,2014-05-04
云南甜王,1.30,1.50,1.70,普通,斤,2014-05-04
京欣西瓜,1.60,1.90,2.20,普通,斤,2014-05-04
红玉/600,2.00,2.10,2.20,普通,斤,2014-05-04
特小凤.小兰,2.00,2.10,2.20,普通,斤,2014-05-04
云南麒麟西瓜,2.30,2.55,2.80,普通,斤,2014-05-04
无籽小号-大号,2.00,2.20,2.40,普通,斤,2014-05-04
黄杏(金太阳）,7.00,8.00,9.00,普通,斤,2014-05-04
布朗,8.00,8.50,9.00,普通,斤,2014-05-04
李子（幸运）,10.00,10.25,10.50,普通,斤,2014-05-04
猕猴桃（海沃德）,5.20,5.35,5.50,普通,斤,2014-05-04
大毛桃,5.00,10.00,15.00,普通,斤,2014-05-04
先锋樱桃,20.00,0.00,35.00,普通,斤,2014-05-05
美早,30.00,0.00,55.00,普通,斤,2014-05-05
红宝石,10.00,0.00,10.00,普通,斤,2014-05-05
红灯,15.00,0.00,32.00,普通,斤,2014-05-05
妃子笑,13.00,14.50,16.00,普通,斤,2014-05-05
熟台农大芒果,6.00,7.00,8.00,普通,斤,2014-05-05
熟台农小芒果,4.00,4.75,5.50,普通,斤,2014-05-05
生台农大芒果,5.00,6.15,7.30,普通,斤,2014-05-05
生台农小芒果,3.50,4.25,5.00,普通,斤,2014-05-05
维多利亚葡萄,10.00,11.00,12.00,普通,斤,2014-05-05
乒乓球葡萄,15.00,15.50,16.00,普通,斤,2014-05-05
黑提葡萄（夏黑）,14.00,14.75,15.50,普通,斤,2014-05-05
巨峰葡萄,12.00,13.50,15.00,普通,斤,2014-05-05
国光,1.70,1.95,2.20,普通,斤,2014-05-05
富士（膜袋Φ75-85）,1.80,2.15,2.50,普通,斤,2014-05-05
富士（纸袋Φ70<85）苹果,2.50,3.35,4.20,普通,斤,2014-05-05
208甜瓜,2.30,2.40,2.50,普通,斤,2014-05-05
翠宝甜瓜,3.50,4.25,5.00,普通,斤,2014-05-05
东方蜜甜瓜,6.00,6.50,7.00,普通,斤,2014-05-05
冰糖籽,2.50,2.70,2.90,普通,斤,2014-05-05
甜宝,3.50,3.85,4.20,普通,斤,2014-05-05
西州蜜,4.10,4.15,4.20,普通,斤,2014-05-05
久红瑞,3.00,3.60,4.20,普通,斤,2014-05-05
花蕾甜瓜,4.20,4.35,4.50,普通,斤,2014-05-05
羊角蜜,3.00,4.50,6.00,普通,斤,2014-05-05
翠梨甜瓜,4.20,4.45,4.70,普通,斤,2014-05-05
长香玉,3.40,3.50,3.60,普通,斤,2014-05-05
丰雷,1.50,1.60,1.70,普通,斤,2014-05-05
丰甜,1.50,1.65,1.80,普通,斤,2014-05-05
沙白,2.80,3.40,4.00,普通,斤,2014-05-05
京甜5号甜瓜,2.80,2.85,2.90,普通,斤,2014-05-05
绿宝甜瓜,3.80,4.90,6.00,普通,斤,2014-05-05
黄金瓜,1.60,1.80,2.00,普通,斤,2014-05-05
白兰甜瓜,1.50,1.65,1.80,普通,斤,2014-05-05
国产皇帝香蕉,6.70,6.80,6.90,普通,斤,2014-05-05
泰国香蕉,10.00,10.20,10.40,普通,斤,2014-05-05
菲律宾香蕉,4.80,5.10,5.40,普通,斤,2014-05-05
国产香蕉,2.70,3.00,3.30,普通,斤,2014-05-05
甜王（境外）,1.30,1.65,2.00,普通,斤,2014-05-05
云南甜王,1.30,1.45,1.60,普通,斤,2014-05-05
京欣西瓜,1.60,1.80,2.00,普通,斤,2014-05-05
红玉/600,1.70,1.85,2.00,普通,斤,2014-05-05
特小凤.小兰,2.00,2.10,2.20,普通,斤,2014-05-05
云南麒麟西瓜,2.00,2.35,2.70,普通,斤,2014-05-05
无籽小号-大号,2.10,2.20,2.30,普通,斤,2014-05-05
黄杏(金太阳）,7.00,8.00,9.00,普通,斤,2014-05-05
布朗,8.00,8.50,9.00,普通,斤,2014-05-05
李子（幸运）,10.00,10.25,10.50,普通,斤,2014-05-05
猕猴桃（海沃德）,5.20,5.35,5.50,普通,斤,2014-05-05
大毛桃,5.00,10.00,15.00,普通,斤,2014-05-05
蟠桃,11.00,13.00,15.00,普通,斤,2014-05-05
油桃,3.00,6.50,10.00,普通,斤,2014-05-05
芦柑,0.80,1.50,2.20,普通,斤,2014-05-05
鄂、湘、川脐橙,1.70,2.75,3.80,普通,斤,2014-05-05
丑柑（青见）,2.50,2.85,3.20,普通,斤,2014-05-05
丑柑（不知火）,5.00,6.50,8.00,普通,斤,2014-05-05
库尔勒香梨,4.20,5.10,6.00,普通,斤,2014-05-05
丰水梨,3.30,3.30,3.30,普通,斤,2014-05-05
皇冠梨,3.20,3.25,3.30,普通,斤,2014-05-05
雪花梨,2.50,2.55,2.60,普通,斤,2014-05-05
鸭梨,2.50,2.60,2.70,普通,斤,2014-05-05
山楂,1.50,2.50,3.50,普通,斤,2014-05-05
桑葚,7.60,7.70,7.80,普通,斤,2014-05-05
柠檬,9.00,9.50,10.00,普通,斤,2014-05-05
木瓜,6.00,6.25,6.50,普通,斤,2014-05-05
2号6号草莓,3.50,4.25,5.00,普通,斤,2014-05-05
甜宝(奶油)草莓,6.00,8.00,10.00,普通,斤,2014-05-05
椰青,0.80,0.85,0.90,普通,斤,2014-05-05
枇杷果（福建）,5.00,6.00,7.00,普通,斤,2014-05-05
箱装菠萝,1.60,1.80,2.00,普通,斤,2014-05-05
先锋樱桃,20.00,0.00,35.00,普通,斤,2014-05-06
美早,30.00,0.00,55.00,普通,斤,2014-05-06
红宝石,10.00,0.00,10.00,普通,斤,2014-05-06
红灯,15.00,0.00,32.00,普通,斤,2014-05-06
妃子笑,13.00,14.00,15.00,普通,斤,2014-05-06
熟台农大芒果,6.00,7.00,8.00,普通,斤,2014-05-06
熟台农小芒果,4.00,4.75,5.50,普通,斤,2014-05-06
生台农大芒果,5.00,6.15,7.30,普通,斤,2014-05-06
生台农小芒果,3.50,4.25,5.00,普通,斤,2014-05-06
维多利亚葡萄,10.00,11.00,12.00,普通,斤,2014-05-06
乒乓球葡萄,11.00,13.00,15.00,普通,斤,2014-05-06
黑提葡萄（夏黑）,14.00,14.50,15.00,普通,斤,2014-05-06
巨峰葡萄,12.00,13.50,15.00,普通,斤,2014-05-06
国光,1.70,1.95,2.20,普通,斤,2014-05-06
富士（膜袋Φ75-85）,1.80,2.15,2.50,普通,斤,2014-05-06
富士（纸袋Φ70<85）苹果,2.50,3.35,4.20,普通,斤,2014-05-06
208甜瓜,2.70,2.75,2.80,普通,斤,2014-05-06
翠宝甜瓜,3.50,4.25,5.00,普通,斤,2014-05-06
东方蜜甜瓜,5.00,5.50,6.00,普通,斤,2014-05-06
冰糖籽,2.50,2.70,2.90,普通,斤,2014-05-06
甜宝,3.00,3.50,4.00,普通,斤,2014-05-06
西州蜜,4.10,4.15,4.20,普通,斤,2014-05-06
久红瑞,3.00,3.30,3.60,普通,斤,2014-05-06
花蕾甜瓜,3.50,3.55,3.60,普通,斤,2014-05-06
羊角蜜,3.00,3.90,4.80,普通,斤,2014-05-06
翠梨甜瓜,3.60,3.80,4.00,普通,斤,2014-05-06
长香玉,3.40,3.50,3.60,普通,斤,2014-05-06
丰雷,1.50,1.60,1.70,普通,斤,2014-05-06
丰甜,1.50,1.60,1.70,普通,斤,2014-05-06
沙白,2.30,3.10,3.90,普通,斤,2014-05-06
京甜5号甜瓜,2.50,2.75,3.00,普通,斤,2014-05-06
绿宝甜瓜,3.00,3.25,3.50,普通,斤,2014-05-06
黄金瓜,1.60,1.65,1.70,普通,斤,2014-05-06
白兰甜瓜,1.50,1.60,1.70,普通,斤,2014-05-06
国产皇帝香蕉,6.70,6.80,6.90,普通,斤,2014-05-06
泰国香蕉,10.00,10.20,10.40,普通,斤,2014-05-06
菲律宾香蕉,4.80,5.10,5.40,普通,斤,2014-05-06
国产香蕉,2.70,3.00,3.30,普通,斤,2014-05-06
